5m_open_time,5m_open_price,5m_high_price,5m_low_price,5m_close_price,5m_volume,5m_close_time,5m_quote_asset_volume,5m_number_of_trades,5m_taker_buy_base_asset_volume,5m_taker_buy_quote_asset_volume,5m_unused,timestamp_key,id,epoch,position,failed,startAt,startBlock,startHash,lockAt,lockBlock,lockHash,lockPrice,lockRoundId,closeAt,closeBlock,closeHash,closePrice,closeRoundId,totalBets,totalAmount,bullBets,bullAmount,bearBets,bearAmount
1665276300000,277.3,277.3,277.2,277.2,280.079,1665276599999,77642.0534,252,41.546,11520.7058,0,2022-10-09 00:49:59.999,110559,110559,Bull,False,1665275951,22012524,0xb05231e33b7604a360f2c63c5a8522317824ca1b083b4fe97eadf484a49d2f66,1665276260,22012627,0xf064ecbea295dd07f01138de785dab86dc44cebcb51b9a9d6596d1a000fcc5be,277.19217602,18446744073711477740,1665276566,22012729,0xa4ba0f2e3ed3bc073b5cdf1e0107df004b4726dc3add11c5d983abfdbc98e061,277.26,18446744073711477755,78,12.364517429485415398,48,8.62654674563868709,30,3.737970683846728308
1665276600000,277.2,277.4,277.2,277.4,370.799,1665276899999,102818.3159,302,190.076,52712.9484,0,2022-10-09 00:54:59.999,110560,110560,Bull,False,1665276260,22012627,0xf064ecbea295dd07f01138de785dab86dc44cebcb51b9a9d6596d1a000fcc5be,1665276566,22012729,0xa4ba0f2e3ed3bc073b5cdf1e0107df004b4726dc3add11c5d983abfdbc98e061,277.26,18446744073711477755,1665276875,22012828,0x55c3b1682308aceb5c3c78166ce7311568026941e311a6f5fcf5e8bc7e1d2abb,277.31,18446744073711477769,64,9.051066680505666391,37,4.936570190676898181,27,4.11449648982876821
1665276900000,277.3,277.5,277.2,277.3,613.374,1665277199999,170116.423,319,199.629,55375.2672,0,2022-10-09 00:59:59.999,110561,110561,Bull,False,1665276566,22012729,0xa4ba0f2e3ed3bc073b5cdf1e0107df004b4726dc3add11c5d983abfdbc98e061,1665276875,22012828,0x55c3b1682308aceb5c3c78166ce7311568026941e311a6f5fcf5e8bc7e1d2abb,277.31,18446744073711477769,1665277186,22012930,0x5eae2fc67b8178cea86f2b8fb4e28273183415a941d6dc29eb63bc2966e1b58c,277.32320652,18446744073711477783,76,10.5939986122757046,39,7.39032686891200351,37,3.20367174336370109
1665277200000,277.3,277.3,276.3,276.5,2694.002,1665277499999,745718.2406,822,461.264,127713.7188,0,2022-10-09 01:04:59.999,110562,110562,Bear,False,1665276875,22012828,0x55c3b1682308aceb5c3c78166ce7311568026941e311a6f5fcf5e8bc7e1d2abb,1665277186,22012930,0x5eae2fc67b8178cea86f2b8fb4e28273183415a941d6dc29eb63bc2966e1b58c,277.32320652,18446744073711477783,1665277495,22013033,0x632569c6d2e83b30b2e9aca637e1188c4cdaea79f1c72e1c13fb4f47b35a69c9,276.55264433,18446744073711477796,72,13.896431343799627832,48,6.345134057276701004,24,7.551297286522926828
1665277500000,276.5,277.0,276.5,276.8,503.366,1665277799999,139334.6874,342,320.692,88776.969,0,2022-10-09 01:09:59.999,110563,110563,Bull,False,1665277186,22012930,0x5eae2fc67b8178cea86f2b8fb4e28273183415a941d6dc29eb63bc2966e1b58c,1665277495,22013033,0x632569c6d2e83b30b2e9aca637e1188c4cdaea79f1c72e1c13fb4f47b35a69c9,276.55264433,18446744073711477796,1665277804,22013136,0xd1a7a2ddcee560e03c3fe59574d110ef67add3f483d231dd868639ea10f80bcb,276.85864754,18446744073711477810,66,9.939048254790760745,23,2.635169277244082049,43,7.303878977546678696
1665277800000,276.9,277.1,276.7,277.0,431.024,1665278099999,119333.4248,300,334.071,92490.2889,0,2022-10-09 01:14:59.999,110564,110564,Bull,False,1665277495,22013033,0x632569c6d2e83b30b2e9aca637e1188c4cdaea79f1c72e1c13fb4f47b35a69c9,1665277804,22013136,0xd1a7a2ddcee560e03c3fe59574d110ef67add3f483d231dd868639ea10f80bcb,276.85864754,18446744073711477810,1665278113,22013236,0xa7d82c884588fee92edea2d97b7110cb744fdfb4976ccde01da7921c31c30adc,277.00224831,18446744073711477824,71,14.859574943509175268,36,6.050538978372260134,35,8.809035965136915134
1665278100000,277.1,277.1,277.0,277.1,110.963,1665278399999,30743.4616,178,67.106,18595.0726,0,2022-10-09 01:19:59.999,110565,110565,Bull,False,1665277804,22013136,0xd1a7a2ddcee560e03c3fe59574d110ef67add3f483d231dd868639ea10f80bcb,1665278113,22013236,0xa7d82c884588fee92edea2d97b7110cb744fdfb4976ccde01da7921c31c30adc,277.00224831,18446744073711477824,1665278422,22013332,0x8e6ae2fb8058da26eb6e9306bdaf6a4a3d96168bdb3942b971cabf4312176528,277.08373409,18446744073711477839,81,18.414544354108928908,47,12.925141513056924128,34,5.48940284105200478
1665278400000,277.1,277.3,276.9,277.3,348.209,1665278699999,96498.7261,266,272.063,75402.9901,0,2022-10-09 01:24:59.999,110566,110566,Bull,False,1665278113,22013236,0xa7d82c884588fee92edea2d97b7110cb744fdfb4976ccde01da7921c31c30adc,1665278422,22013332,0x8e6ae2fb8058da26eb6e9306bdaf6a4a3d96168bdb3942b971cabf4312176528,277.08373409,18446744073711477839,1665278738,22013433,0x7279edbd306afc7ec9f79e63fb56d36d1e1079edc49fed3f130419cc42cd8492,277.23891837,18446744073711477854,63,8.734515251066851835,28,5.731041401441367533,35,3.003473849625484302
1665278700000,277.2,277.5,277.2,277.5,337.985,1665278999999,93758.644,222,254.755,70676.7486,0,2022-10-09 01:29:59.999,110567,110567,Bull,False,1665278422,22013332,0x8e6ae2fb8058da26eb6e9306bdaf6a4a3d96168bdb3942b971cabf4312176528,1665278738,22013433,0x7279edbd306afc7ec9f79e63fb56d36d1e1079edc49fed3f130419cc42cd8492,277.23891837,18446744073711477854,1665279047,22013524,0x6affb2dcc230ea57bed225f197a59842ae26d7862cbf2c71a4053f69e71c30bf,277.42313102,18446744073711477866,74,9.076412050621205467,35,4.143299063035946221,39,4.933112987585259246
1665279000000,277.5,277.5,277.4,277.4,231.679,1665279299999,64280.2536,240,124.99,34684.725,0,2022-10-09 01:34:59.999,110568,110568,Bear,False,1665278738,22013433,0x7279edbd306afc7ec9f79e63fb56d36d1e1079edc49fed3f130419cc42cd8492,1665279047,22013524,0x6affb2dcc230ea57bed225f197a59842ae26d7862cbf2c71a4053f69e71c30bf,277.42313102,18446744073711477866,1665279354,22013616,0xeb1e625715a1cd0a4bfeb95b97a15e68c5958ae2528234468f3757a8525d55e6,277.36602605,18446744073711477881,79,14.838554809303431863,36,9.330302719813757712,43,5.508252089489674151
